Connector ID,Name,Description
connector0,"Door 1 Reader +","Reader positive 12VDC output"
connector1,"Door 1 Reader -","Reader negative / ground"
connector2,"Door 1 Reader 0","Wiegand Data 0 or OSDP B"
connector3,"Door 1 Reader 1","Wiegand Data 1 or OSDP A"
connector4,"Door 1 Reader L","Reader LED trigger output"
connector5,"Door 1 Input A","Door position switch input or assignable Input A"
connector6,"Door 1 Input B","Request-to-exit input or assignable Input B"
connector7,"Door 1 Input -","Input ground / common"
connector8,"Door 1 Relay NC","Form-C relay normally closed contact"
connector9,"Door 1 Relay C","Form-C relay common contact"
connector10,"Door 1 Relay NO","Form-C relay normally open contact"
connector11,"Controller Power +","Controller power input, positive 12 to 24 VDC"
connector12,"Controller Power GND","Controller power input, negative / ground"
connector13,"Battery Pin 1","Keyed battery connector Pin 1; verify polarity against current PDK documentation and factory lead"
connector14,"Battery Pin 2","Keyed battery connector Pin 2; verify polarity against current PDK documentation and factory lead"
connector15,"Door 1 Relay Jumper +","Door 1 relay wet/dry jumper terminal +"
connector16,"Door 1 Relay Jumper BUS","Door 1 relay wet/dry jumper terminal BUS"
connector17,"Door 1 Relay Jumper -","Door 1 relay wet/dry jumper terminal -"
connector18,"Door 1 OSDP Jumper Pin 1","Door 1 OSDP multidrop jumper pin 1"
connector19,"Door 1 OSDP Jumper Pin 2","Door 1 OSDP multidrop jumper pin 2"
